#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|    ../receive0_zedboard_8GB.txt|  5.91e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|   5|   1000000|     100|0.96776021|  PASSED  
# The file file_input_raw was rewound 3 times
      rgb_lagged_sum|   6|   1000000|     100|0.35124914|  PASSED  
# The file file_input_raw was rewound 4 times
      rgb_lagged_sum|   7|   1000000|     100|0.89595525|  PASSED  
# The file file_input_raw was rewound 4 times
      rgb_lagged_sum|   8|   1000000|     100|0.75406610|  PASSED  
# The file file_input_raw was rewound 5 times
      rgb_lagged_sum|   9|   1000000|     100|0.78703492|  PASSED  
# The file file_input_raw was rewound 5 times
      rgb_lagged_sum|  10|   1000000|     100|0.96979298|  PASSED  
# The file file_input_raw was rewound 6 times
      rgb_lagged_sum|  11|   1000000|     100|0.82341003|  PASSED  
# The file file_input_raw was rewound 7 times
      rgb_lagged_sum|  12|   1000000|     100|0.24196755|  PASSED  
# The file file_input_raw was rewound 7 times
      rgb_lagged_sum|  13|   1000000|     100|0.62969030|  PASSED  
# The file file_input_raw was rewound 8 times
      rgb_lagged_sum|  14|   1000000|     100|0.89485282|  PASSED  
# The file file_input_raw was rewound 9 times
      rgb_lagged_sum|  15|   1000000|     100|0.99445560|  PASSED  
# The file file_input_raw was rewound 10 times
      rgb_lagged_sum|  16|   1000000|     100|0.90404902|  PASSED  
# The file file_input_raw was rewound 11 times
      rgb_lagged_sum|  17|   1000000|     100|0.95924478|  PASSED  
# The file file_input_raw was rewound 12 times
      rgb_lagged_sum|  18|   1000000|     100|0.91253195|  PASSED  
# The file file_input_raw was rewound 13 times
      rgb_lagged_sum|  19|   1000000|     100|0.44022125|  PASSED  
# The file file_input_raw was rewound 14 times
      rgb_lagged_sum|  20|   1000000|     100|0.04918973|  PASSED  
# The file file_input_raw was rewound 15 times
      rgb_lagged_sum|  21|   1000000|     100|0.96155234|  PASSED  
# The file file_input_raw was rewound 16 times
      rgb_lagged_sum|  22|   1000000|     100|0.95152774|  PASSED  
# The file file_input_raw was rewound 17 times
      rgb_lagged_sum|  23|   1000000|     100|0.85554686|  PASSED  
# The file file_input_raw was rewound 18 times
      rgb_lagged_sum|  24|   1000000|     100|0.60181203|  PASSED  
# The file file_input_raw was rewound 20 times
      rgb_lagged_sum|  25|   1000000|     100|0.28039058|  PASSED  
# The file file_input_raw was rewound 21 times
      rgb_lagged_sum|  26|   1000000|     100|0.54476371|  PASSED  
# The file file_input_raw was rewound 22 times
      rgb_lagged_sum|  27|   1000000|     100|0.99145249|  PASSED  
# The file file_input_raw was rewound 24 times
      rgb_lagged_sum|  28|   1000000|     100|0.81183315|  PASSED  
# The file file_input_raw was rewound 25 times
      rgb_lagged_sum|  29|   1000000|     100|0.49723859|  PASSED  
# The file file_input_raw was rewound 27 times
      rgb_lagged_sum|  30|   1000000|     100|0.26232317|  PASSED  
# The file file_input_raw was rewound 28 times
      rgb_lagged_sum|  31|   1000000|     100|0.49718272|  PASSED  
# The file file_input_raw was rewound 30 times
      rgb_lagged_sum|  32|   1000000|     100|0.92320230|  PASSED  
# The file file_input_raw was rewound 30 times
     rgb_kstest_test|   0|     10000|    1000|0.24881395|  PASSED  
# The file file_input_raw was rewound 30 times
     dab_bytedistrib|   0|  51200000|       1|0.09484016|  PASSED  
# The file file_input_raw was rewound 30 times
             dab_dct| 256|     50000|       1|0.23766366|  PASSED  
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 30 times
        dab_filltree|  32|  15000000|       1|0.00720467|  PASSED  
        dab_filltree|  32|  15000000|       1|0.77343537|  PASSED  
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 30 times
       dab_filltree2|   0|   5000000|       1|0.01684173|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.41537061|  PASSED  
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 30 times
        dab_monobit2|  12|  65000000|       1|0.80509612|  PASSED  

