#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|       ../receive0_nexys_8GB.txt|  6.49e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|   5|   1000000|     100|0.03046876|  PASSED  
# The file file_input_raw was rewound 3 times
      rgb_lagged_sum|   6|   1000000|     100|0.23880144|  PASSED  
# The file file_input_raw was rewound 4 times
      rgb_lagged_sum|   7|   1000000|     100|0.37259136|  PASSED  
# The file file_input_raw was rewound 4 times
      rgb_lagged_sum|   8|   1000000|     100|0.67881580|  PASSED  
# The file file_input_raw was rewound 5 times
      rgb_lagged_sum|   9|   1000000|     100|0.32621482|  PASSED  
# The file file_input_raw was rewound 5 times
      rgb_lagged_sum|  10|   1000000|     100|0.56118607|  PASSED  
# The file file_input_raw was rewound 6 times
      rgb_lagged_sum|  11|   1000000|     100|0.25952527|  PASSED  
# The file file_input_raw was rewound 7 times
      rgb_lagged_sum|  12|   1000000|     100|0.16176598|  PASSED  
# The file file_input_raw was rewound 7 times
      rgb_lagged_sum|  13|   1000000|     100|0.56291478|  PASSED  
# The file file_input_raw was rewound 8 times
      rgb_lagged_sum|  14|   1000000|     100|0.33022747|  PASSED  
# The file file_input_raw was rewound 9 times
      rgb_lagged_sum|  15|   1000000|     100|0.83096536|  PASSED  
# The file file_input_raw was rewound 10 times
      rgb_lagged_sum|  16|   1000000|     100|0.45247093|  PASSED  
# The file file_input_raw was rewound 11 times
      rgb_lagged_sum|  17|   1000000|     100|0.09937579|  PASSED  
# The file file_input_raw was rewound 12 times
      rgb_lagged_sum|  18|   1000000|     100|0.81241923|  PASSED  
# The file file_input_raw was rewound 13 times
      rgb_lagged_sum|  19|   1000000|     100|0.98778496|  PASSED  
# The file file_input_raw was rewound 14 times
      rgb_lagged_sum|  20|   1000000|     100|0.52461597|  PASSED  
# The file file_input_raw was rewound 15 times
      rgb_lagged_sum|  21|   1000000|     100|0.66930500|  PASSED  
# The file file_input_raw was rewound 16 times
      rgb_lagged_sum|  22|   1000000|     100|0.43149519|  PASSED  
# The file file_input_raw was rewound 17 times
      rgb_lagged_sum|  23|   1000000|     100|0.17318182|  PASSED  
# The file file_input_raw was rewound 18 times
      rgb_lagged_sum|  24|   1000000|     100|0.46175658|  PASSED  
# The file file_input_raw was rewound 20 times
      rgb_lagged_sum|  25|   1000000|     100|0.83937757|  PASSED  
# The file file_input_raw was rewound 21 times
      rgb_lagged_sum|  26|   1000000|     100|0.97448387|  PASSED  
# The file file_input_raw was rewound 22 times
      rgb_lagged_sum|  27|   1000000|     100|0.82309172|  PASSED  
# The file file_input_raw was rewound 24 times
      rgb_lagged_sum|  28|   1000000|     100|0.53659326|  PASSED  
# The file file_input_raw was rewound 25 times
      rgb_lagged_sum|  29|   1000000|     100|0.87990547|  PASSED  
# The file file_input_raw was rewound 27 times
      rgb_lagged_sum|  30|   1000000|     100|0.99647889|   WEAK   
# The file file_input_raw was rewound 28 times
      rgb_lagged_sum|  31|   1000000|     100|0.06400650|  PASSED  
# The file file_input_raw was rewound 30 times
      rgb_lagged_sum|  32|   1000000|     100|0.76407094|  PASSED  
# The file file_input_raw was rewound 30 times
     rgb_kstest_test|   0|     10000|    1000|0.14331739|  PASSED  
# The file file_input_raw was rewound 30 times
     dab_bytedistrib|   0|  51200000|       1|0.68922333|  PASSED  
# The file file_input_raw was rewound 30 times
             dab_dct| 256|     50000|       1|0.18071617|  PASSED  
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 30 times
        dab_filltree|  32|  15000000|       1|0.80879497|  PASSED  
        dab_filltree|  32|  15000000|       1|0.49628129|  PASSED  
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 30 times
       dab_filltree2|   0|   5000000|       1|0.82085398|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.32846915|  PASSED  
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 30 times
        dab_monobit2|  12|  65000000|       1|0.61501093|  PASSED  

